,SimpleAgent,RandomAgent,InternalAgent,OuterAgent,RainbowAgent
SimpleAgent,2.2211108331943574,0.699205898780101,2.0789954839350235,2.98328677803526,0.0
RandomAgent,1.2649110640673518,0.9944289260117533,1.8287822299126937,1.636391694484477,0.0
InternalAgent,1.9888578520235065,1.3165611772087666,5.138093031466052,1.4907119849998598,0.0
OuterAgent,1.3165611772087666,2.3118054512532935,1.9321835661585918,1.636391694484477,0.0
RainbowAgent,0.0,0.0,0.0,0.0,0.0
